"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20180630"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","201804","21~30","76,500","23","1999","송이로15길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","59.97","201801","1~10","50,900","11","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","59.97","201802","1~10","57,000","6","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","84.95","201802","11~20","71,500","19","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","84.95","201802","11~20","70,500","14","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","46.81","201802","21~28","40,000","12","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","46.81","201803","1~10","45,000","4","2000","중대로12길"
"서울특별시 송파구 가락동","120-4","0120","0004","가락우성2","59.99","201805","21~31","59,000","13","2000","중대로12길"
"서울특별시 송파구 가락동","198-9","0198","0009","가락현대투웰브(101동)","84.79","201802","21~28","54,500","9","2005","동남로14길"
"서울특별시 송파구 가락동","164-1","0164","0001","골드팰리스아파트","84.6","201801","1~10","48,800","2","2007","동남로17길"
"서울특별시 송파구 가락동","164-1","0164","0001","골드팰리스아파트","80.37","201802","21~28","50,000","3","2007","동남로17길"
"서울특별시 송파구 가락동","1-7","0001","0007","그린빌리지","84.99","201801","11~20","42,000","9","1996","양재대로68길"
"서울특별시 송파구 가락동","1-7","0001","0007","그린빌리지","55.62","201801","11~20","31,000","8","1996","양재대로68길"
"서울특별시 송파구 가락동","192","0192","0000","극동","120.4","201801","1~10","95,300","3","1984","동남로18길"
"서울특별시 송파구 가락동","192","0192","0000","극동","59.4","201801","1~10","72,000","15","1984","동남로18길"
"서울특별시 송파구 가락동","192","0192","0000","극동","59.4","201801","21~31","79,300","4","1984","동남로18길"
"서울특별시 송파구 가락동","192","0192","0000","극동","120.4","201802","1~10","117,700","9","1984","동남로18길"
"서울특별시 송파구 가락동","192","0192","0000","극동","59.4","201802","21~28","81,000","14","1984","동남로18길"
"서울특별시 송파구 가락동","192","0192","0000","극동","84.96","201804","11~20","96,000","15","1984","동남로18길"
